epoch,energy,episode_reward_sum,critic_loss,actor_task_loss,actor_machine_loss
1,866538,-21245977.0,1.2590901851654053,-1.2416377067565918,-1.1763250827789307
2,866538,-17815144.0,2.057342529296875,-0.5145613551139832,-0.2852281630039215
3,866538,-7264641.0,1.2456783056259155,1.209890365600586,1.1294351816177368
4,866538,-23712335.0,9.84975528717041,3.6086463928222656,3.220564842224121
5,839775,-31676056.0,1.3161165714263916,1.09929358959198,1.0704295635223389
6,847745,-7745981.0,1.2908687591552734,1.1674935817718506,1.1531853675842285
7,847745,-16950031.0,1.2905648946762085,1.231460452079773,1.177544116973877
8,799449,-65028914.0,1.4802262783050537,0.6575284004211426,0.6396325826644897
9,855886,-36421358.0,1.1860260963439941,0.9911808371543884,0.8935590386390686
10,835181,-29426870.0,1.0344699621200562,-0.43619024753570557,-0.38094738125801086
11,816768,-37713005.0,1.2862567901611328,-1.2402969598770142,-1.1722946166992188
12,842644,-15544077.0,7.047036170959473,-3.9797110557556152,-3.5743653774261475
13,826276,-9014095.0,2.182896614074707,-2.61773681640625,-2.381784677505493
14,769960,-78584638.0,5.071653842926025,-0.9657676815986633,-0.7624788880348206
15,731686,-39419766.0,1.2057452201843262,-0.6979648470878601,-0.6847066283226013
16,713749,-60647875.0,2.0134785175323486,-1.1439785957336426,-0.9899207353591919
17,710309,-58584410.0,55.22303771972656,-6.067193508148193,-5.653404712677002
18,683568,-55504529.0,1.065449595451355,-0.6710272431373596,-0.5369454622268677
19,622856,-73855711.0,3.174675941467285,-2.9890763759613037,-2.7122511863708496
20,654901,-7528671.0,1.6578913927078247,-1.4292305707931519,-1.258773684501648
21,664181,-4518538.0,1.0967471599578857,0.5424840450286865,0.6018422245979309
22,665436,-14690823.0,1.2568304538726807,-0.15132959187030792,-0.08589909970760345
23,688734,-36725152.0,1.526071310043335,-1.6571378707885742,-1.518049716949463
24,658456,-114787439.0,2.5964789390563965,1.562090277671814,1.5583012104034424
25,641043,-28251440.0,1.222187876701355,0.8741111755371094,0.931189775466919
26,649754,-40257762.0,51.32246017456055,4.473038673400879,4.399014949798584
27,623435,-52528782.0,2.192697525024414,-2.523392915725708,-2.2874951362609863
28,654931,-9917354.0,219.4409942626953,12.868348121643066,11.405374526977539
29,636936,-61485119.0,10.210705757141113,-3.2012898921966553,-2.9381093978881836
30,676864,-9807534.0,2.4481563568115234,1.7241958379745483,1.6200929880142212
31,675693,-26100857.0,15.01502799987793,3.0729000568389893,3.0988385677337646
32,640241,-55418249.0,18.685197830200195,2.8806464672088623,2.8675737380981445
33,662928,-12638076.0,3.10078501701355,2.045163154602051,1.5205451250076294
34,656340,-25308276.0,3.486375570297241,2.0484540462493896,1.626956582069397
35,623957,-72370132.0,2.8853304386138916,-2.828730583190918,-2.568699836730957
36,653765,-42728017.0,17.090688705444336,3.067909002304077,3.0446650981903076
37,636671,-17416739.0,1.3706347942352295,0.45343026518821716,0.437790185213089
38,642329,-51361453.0,1.6860606670379639,1.619549036026001,1.3644773960113525
39,680330,-25495363.0,1.143160343170166,0.32048267126083374,0.3282909691333771
40,610333,-59672733.0,1.6116536855697632,1.5041970014572144,1.54926598072052
41,604815,-37307565.0,8.210504531860352,1.707593560218811,1.5064209699630737
42,656970,-58653820.0,1.691034197807312,1.6475285291671753,1.4550825357437134
43,657505,-24145218.0,1.076011061668396,-0.04150265455245972,-0.19221808016300201
44,641532,-31688948.0,1.0037089586257935,-0.14644187688827515,-0.08834683895111084
45,645154,-5719200.0,3.180150032043457,-2.5376808643341064,-2.2275969982147217
46,641903,-54586330.0,1.1999648809432983,0.543567419052124,0.4926791787147522
47,645154,-23398999.0,1050.5501708984375,-23.094818115234375,-22.05691909790039
48,645154,-26723283.0,2.730727434158325,-2.5698368549346924,-2.5009446144104004
49,645154,-10209099.0,7.575588226318359,-4.231257915496826,-4.1642351150512695
50,645154,-6807675.0,22.420318603515625,-6.35983419418335,-6.1917266845703125
51,637791,-21796430.0,37.723262786865234,-6.5442795753479,-6.293674945831299
52,640914,-31988900.0,40.71570587158203,-6.005894184112549,-5.75509786605835
53,659854,-42320194.0,3.3976223468780518,-3.006835460662842,-2.8027403354644775
54,637100,-43408975.0,3.493835210800171,-3.3254477977752686,-3.1817383766174316
55,631822,-49522798.0,1129.5574951171875,-17.5271053314209,-17.546260833740234
56,669992,-44065341.0,67.55622100830078,-6.0690717697143555,-6.632158279418945
57,650599,-37667133.0,704.1575927734375,-17.39957618713379,-18.077211380004883
58,665821,-32956553.0,2.183300256729126,-1.7774922847747803,-1.8387351036071777
59,673889,-86024806.0,1.2594250440597534,-0.7525366544723511,-0.7569325566291809
60,634845,-65670310.0,18.595937728881836,-4.0593132972717285,-4.013482093811035
61,648787,-28027286.0,1.499610185623169,-0.9255557060241699,-1.0874838829040527
62,648787,-37183900.0,1.0357298851013184,-0.3944649398326874,-0.42262333631515503
63,648548,-63119978.0,101.91889953613281,-5.290658473968506,-5.598989486694336
64,647134,-49761327.0,192.56051635742188,6.508791923522949,7.998321533203125
65,631336,-43096993.0,80.2929458618164,4.462444305419922,5.487489223480225
66,635951,-27561762.0,1.3250935077667236,0.652670681476593,0.7785325646400452
67,652436,-16719210.0,1.7875672578811646,0.8948388695716858,1.1267378330230713
68,626105,-90905737.0,7.857466220855713,-3.578801155090332,-3.4687366485595703
69,618727,-20269385.0,1.686682939529419,1.029463529586792,1.1630560159683228
70,633927,-44777602.0,4.055210590362549,-1.0888217687606812,-1.2499749660491943
71,647259,-45133186.0,1.1710859537124634,0.44268420338630676,0.5482690334320068
72,647259,-27601841.0,1.5821483135223389,0.9945459365844727,1.0694271326065063
73,627327,-4407118.0,1.3982112407684326,0.6970303654670715,0.6483442783355713
74,592426,-84602711.0,7.453309535980225,-3.9112870693206787,-3.859013080596924
75,631296,-15637825.0,3.3660902976989746,0.9301925897598267,0.7377133965492249
76,618262,-16070112.0,1.6621747016906738,0.7218701839447021,0.6865065693855286
77,618262,-60899398.0,2.05714750289917,-0.8681416511535645,-0.9683554768562317
78,610893,-23966163.0,95.7791748046875,3.921441078186035,3.602867841720581
79,610893,-43035489.0,127.82535552978516,4.249969959259033,3.6140999794006348
